"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","487","02 - Get All Booking Ids and check if created booking id is present","","2025-11-13","passed","2025-11-13","","apiTest.spec.ts","",""
"","458","05 - Delete Booking Info","","2025-11-13","passed","2025-11-13","","apiTest.spec.ts","",""
"","1160","01 - Get Booking Info","","2025-11-13","passed","2025-11-13","","apiTest.spec.ts","",""
"","482","03 - Update Booking Info","","2025-11-13","passed","2025-11-13","","apiTest.spec.ts","",""
"","490","04 - Partial update Booking Info","","2025-11-13","passed","2025-11-13","","apiTest.spec.ts","",""
