"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","638","02 - Get All Booking Ids and check if created booking id is present","","2025-11-12","passed","2025-11-12","","apiTest.spec.ts","",""
"","485","03 - Update Booking Info","","2025-11-12","passed","2025-11-12","","apiTest.spec.ts","",""
"","454","05 - Delete Booking Info","","2025-11-12","passed","2025-11-12","","apiTest.spec.ts","",""
"","1127","01 - Get Booking Info","","2025-11-12","passed","2025-11-12","","apiTest.spec.ts","",""
"","462","04 - Partial update Booking Info","","2025-11-12","passed","2025-11-12","","apiTest.spec.ts","",""
